country,cluster,cluster_name,renewable_percent,fossil_percent,ghg_per_capita,energy_per_capita
Namibia,1,Fossil Dependent,7.152,87.331,0.02490613943453101,6530.722
Nauru,2,Fossil Dependent,7.152,87.331,2.5581990278843696,27542.607
Nepal,1,Fossil Dependent,7.152,87.331,0.007803218834554661,1633.55
Netherlands,2,Fossil Dependent,11.483,87.583,2.3998107223317473,57247.258
New Caledonia,2,Fossil Dependent,7.152,87.331,6.100404239430349,59830.672
New Zealand,0,Transitioning Nations,40.316,59.684,1.235391156948713,46175.445
Nicaragua,1,Fossil Dependent,7.152,87.331,0.16554435121287575,3228.125
Niger,1,Fossil Dependent,7.152,87.331,0.019998249132882038,445.613
Nigeria,1,Fossil Dependent,7.152,87.331,0.09376317643759656,2345.254
Niue,1,Fossil Dependent,7.152,87.331,0.0,18198.82
North Korea,1,Fossil Dependent,7.152,87.331,0.33469894059017563,7039.498
North Macedonia,1,Fossil Dependent,14.348,85.652,1.680073944862242,15665.124
Norway,0,Transitioning Nations,71.305,28.695,0.7821626964975753,105249.945
Oman,2,Fossil Dependent,0.496,99.504,5.183950241188118,88512.25
Pakistan,1,Fossil Dependent,9.927,86.422,0.3109682753272271,4451.399
Palestine,1,Fossil Dependent,7.152,87.331,0.08871161993010682,4366.51
Panama,1,Fossil Dependent,7.152,87.331,0.4510506488455635,21334.693
Papua New Guinea,1,Fossil Dependent,7.152,87.331,0.22970372813145604,1941.511
Paraguay,1,Fossil Dependent,7.152,87.331,0.15259903078670486,8164.098
Peru,0,Transitioning Nations,28.608,71.392,0.4312960086148211,9877.367
Philippines,1,Fossil Dependent,12.948,87.052,0.5606495938535333,4823.633
Poland,2,Fossil Dependent,7.599,92.401,3.554913850186735,32196.334
Portugal,0,Transitioning Nations,32.197,67.803,0.9970207748910904,25646.334
Puerto Rico,2,Fossil Dependent,7.152,87.331,3.9591664847950176,24091.275
Romania,1,Fossil Dependent,18.153,74.637,0.8821622888713668,20261.834
Russia,2,Fossil Dependent,6.586,86.804,3.3863340845232828,57127.566
Rwanda,1,Fossil Dependent,7.152,87.331,0.020965522198744164,487.895
Saint Helena,1,Fossil Dependent,7.152,87.331,1.8467220683287164,8847.337
Saint Kitts and Nevis,2,Fossil Dependent,7.152,87.331,2.9923481383319794,22304.869
Saint Lucia,1,Fossil Dependent,7.152,87.331,1.4562563011089953,13946.938
Saint Pierre and Miquelon,2,Fossil Dependent,7.152,87.331,5.170630816959669,44315.492
Saint Vincent and the Grenadines,1,Fossil Dependent,7.152,87.331,0.7778469197261979,10010.844
Samoa,1,Fossil Dependent,7.152,87.331,0.2806466097889537,6439.443
Sao Tome and Principe,1,Fossil Dependent,7.152,87.331,0.31535082779592294,2968.911
Saudi Arabia,2,Fossil Dependent,0.083,99.917,8.810543438992397,95196.312
Senegal,1,Fossil Dependent,7.152,87.331,0.21137148387311067,2404.388
Serbia,2,Fossil Dependent,7.152,87.331,3.6515630547841256,27246.262
Seychelles,2,Fossil Dependent,7.152,87.331,2.7642276422764227,27693.805
Sierra Leone,1,Fossil Dependent,7.152,87.331,0.00123539103770747,688.847
Slovakia,1,Fossil Dependent,10.213,69.773,0.9131386504582413,35868.371
Slovenia,0,Transitioning Nations,19.61,61.774,1.987229683533673,36234.727
Solomon Islands,1,Fossil Dependent,7.152,87.331,0.09179196269574635,1691.575
Somalia,1,Fossil Dependent,7.152,87.331,0.01273779509345923,192.256
South Africa,2,Fossil Dependent,3.247,94.583,2.9585740128523343,22855.135
South Korea,2,Fossil Dependent,3.877,85.19,5.385701287104302,68918.578
South Sudan,1,Fossil Dependent,7.152,87.331,0.03405183941594285,669.329
Spain,0,Transitioning Nations,22.272,68.505,1.097711627384721,32091.293
Sri Lanka,1,Fossil Dependent,21.005,78.995,0.3224616049328168,4795.043
Sudan,1,Fossil Dependent,7.152,87.331,0.09632402152581827,1592.538
Suriname,1,Fossil Dependent,7.152,87.331,1.1814113820085612,17477.211
Sweden,0,Transitioning Nations,50.01,28.762,0.6883551997314935,60836.348
Switzerland,0,Transitioning Nations,37.276,46.596,0.2790851840337089,33316.562
Syria,1,Fossil Dependent,7.152,87.331,0.6949056021828636,5139.623
Taiwan,2,Fossil Dependent,2.932,92.06,8.055749282737784,58168.164
Tajikistan,1,Fossil Dependent,7.152,87.331,0.22976023065117862,4666.234
Tanzania,1,Fossil Dependent,7.152,87.331,0.04408693178987691,1071.708
Thailand,1,Fossil Dependent,7.034,92.966,1.3917984799603187,19334.578
Togo,1,Fossil Dependent,7.152,87.331,0.03716893460993231,1246.703
Tonga,1,Fossil Dependent,7.152,87.331,0.3791325447376403,7542.833
Tunisia,1,Fossil Dependent,7.152,87.331,1.0258431978752762,10189.536
Turkey,1,Fossil Dependent,15.696,84.304,1.8934951324577942,22505.564
Turkmenistan,2,Fossil Dependent,0.006,99.994,5.229805463645026,62717.742
Turks and Caicos Islands,2,Fossil Dependent,7.152,87.331,3.7559100349078696,41892.797
Uganda,1,Fossil Dependent,7.152,87.331,0.006316578507196902,656.094
Ukraine,1,Fossil Dependent,5.89,71.218,0.9869377034176352,21105.271
United Kingdom,1,Fossil Dependent,17.482,76.764,1.2153313577893547,29422.24
